Sondajes Indicados Inferidos			
4			
x			
y			
z			
Ley			
40	40	60	0
40	40	54	0
40	40	48	0
40	40	42	0
40	40	36	0
40	40	30	0
40	40	24	0
40	40	18	0
40	40	12	0
40	40	6	0
40	40	0	0
40	40	-6	0
40	40	-12	0
40	40	-18	0
40	40	-24	0
40	40	-30	0
40	40	-36	0
40	40	-42	0
40	40	-48	0
40	40	-54	0
40	40	-60	0
40	-40	60	0
40	-40	54	0
40	-40	48	0
40	-40	42	0
40	-40	36	0
40	-40	30	0
40	-40	24	0
40	-40	18	0
40	-40	12	0
40	-40	6	0
40	-40	0	0
40	-40	-6	0
40	-40	-12	0
40	-40	-18	0
40	-40	-24	0
40	-40	-30	0
40	-40	-36	0
40	-40	-42	0
40	-40	-48	0
40	-40	-54	0
40	-40	-60	0
-40	40	60	0
-40	40	54	0
-40	40	48	0
-40	40	42	0
-40	40	36	0
-40	40	30	0
-40	40	24	0
-40	40	18	0
-40	40	12	0
-40	40	6	0
-40	40	0	0
-40	40	-6	0
-40	40	-12	0
-40	40	-18	0
-40	40	-24	0
-40	40	-30	0
-40	40	-36	0
-40	40	-42	0
-40	40	-48	0
-40	40	-54	0
-40	40	-60	0
-40	-40	60	0
-40	-40	54	0
-40	-40	48	0
-40	-40	42	0
-40	-40	36	0
-40	-40	30	0
-40	-40	24	0
-40	-40	18	0
-40	-40	12	0
-40	-40	6	0
-40	-40	0	0
-40	-40	-6	0
-40	-40	-12	0
-40	-40	-18	0
-40	-40	-24	0
-40	-40	-30	0
-40	-40	-36	0
-40	-40	-42	0
-40	-40	-48	0
-40	-40	-54	0
-40	-40	-60	0
