Sondajes Medidos Indicados			
4			
x			
y			
z			
Ley			
50   50    60	0
50   50    54	0
50   50    48	0
50   50    42	0
50   50    36	0
50   50    30	0
50   50    24	0
50   50    18	0
50   50    12	0
50   50    6	0
50   50    0	0
50   50    -6	0
50   50    -12	0
50   50    -18	0
50   50    -24	0
50   50    -30	0
50   50    -36	0
50   50    -42	0
50   50    -48	0
50   50    -54	0
50   50    -60	0
50   -50    60	0
50   -50    54	0
50   -50    48	0
50   -50    42	0
50   -50    36	0
50   -50    30	0
50   -50    24	0
50   -50    18	0
50   -50    12	0
50   -50    6	0
50   -50    0	0
50   -50    -6	0
50   -50    -12	0
50   -50    -18	0
50   -50    -24	0
50   -50    -30	0
50   -50    -36	0
50   -50    -42	0
50   -50    -48	0
50   -50    -54	0
50   -50    -60	0
-50   50    60	0
-50   50    54	0
-50   50    48	0
-50   50    42	0
-50   50    36	0
-50   50    30	0
-50   50    24	0
-50   50    18	0
-50   50    12	0
-50   50    6	0
-50   50    0	0
-50   50    -6	0
-50   50    -12	0
-50   50    -18	0
-50   50    -24	0
-50   50    -30	0
-50   50    -36	0
-50   50    -42	0
-50   50    -48	0
-50   50    -54	0
-50   50    -60	0
-50   -50    60	0
-50   -50    54	0
-50   -50    48	0
-50   -50    42	0
-50   -50    36	0
-50   -50    30	0
-50   -50    24	0
-50   -50    18	0
-50   -50    12	0
-50   -50    6	0
-50   -50    0	0
-50   -50    -6	0
-50   -50    -12	0
-50   -50    -18	0
-50   -50    -24	0
-50   -50    -30	0
-50   -50    -36	0
-50   -50    -42	0
-50   -50    -48	0
-50   -50    -54	0
-50   -50    -60	0
